Bydel,Almennyttigt boligbyggeri,Ejerbolig,Privat andelsboligforening,Privat udlejning,Stat og kommune,Total Result
Amager Øst,4446,6608,10581,7481,97,29213
Amager Vest,7281,7771,8818,8971,124,32965
Bispebjerg,9513,2996,9560,6760,313,29142
Brønshøj-Husum,8812,5861,2300,2431,761,20165
Indre By,1386,6253,6845,11863,1126,27473
Nørrebro,8841,3101,17013,10406,1696,41057
Østerbro,4723,7551,15305,12796,387,40762
Valby,6064,6598,7931,5793,282,26668
Vanløse,2789,6072,5699,5756,8,20324
Vesterbro,6394,4258,13725,6864,265,31506
Total in CPH,60249,57069,97777,79121,5059,299275
