group,Amager Øst,Amager Vest,Bispebjerg,Brønshøj-Husum,Indre By,Nørrebro,Østerbro,Valby,Vanløse,Vesterbro,Avg in CPH
<50k,0.0851012799,0.0914623676,0.0854270237,0.1130948897,0.1173779086,0.0896927726,0.0950189715,0.0865967088,0.0862313042,0.0843076434,0.0928857722
50k-100k,0.0777533088,0.0754936564,0.0948124039,0.0695428203,0.0735307643,0.1016599086,0.0669734399,0.065442404,0.0595186804,0.0746043108,0.0773773429
100k-150k,0.1264635981,0.1202327578,0.1611342711,0.1261488029,0.1001563506,0.1596276216,0.1086784532,0.1236107799,0.104911676,0.1302592858,0.127576903
150k-200k,0.1500119922,0.1404178193,0.1857904006,0.1676227829,0.1170560103,0.1744802345,0.1340599015,0.1578583353,0.1360251123,0.1445160264,0.1510508334
200k-300k,0.1779866123,0.1591338357,0.1844974029,0.1700520986,0.1443483859,0.1607362522,0.1553564221,0.1717624612,0.1686772943,0.1636642011,0.1647781175
300k-400k,0.1802542354,0.1700467423,0.1565641929,0.1533103085,0.1439805022,0.1540692818,0.1641721159,0.1788218459,0.1927740506,0.1711405393,0.1656169249
400k-500k,0.1049865905,0.1136506725,0.0746371804,0.0935432887,0.1148487078,0.0923048886,0.1233551304,0.1080610541,0.1184218625,0.1170563907,0.1062665464
500k-600k,0.0472494167,0.0594867881,0.0286020019,0.0485863139,0.0694610503,0.0377541877,0.064955195,0.0512043883,0.0630577953,0.0559333492,0.052329328
600k-700k,0.0218694808,0.0290374893,0.0130860289,0.0256102558,0.0385588154,0.0142299573,0.0325179624,0.0247078464,0.0299747646,0.0257695061,0.0251874639
>=700k,0.0283234852,0.0410378708,0.0154490938,0.0324884388,0.0806815046,0.015444895,0.0549124082,0.031934176,0.0404074598,0.0327487473,0.0369307678
