Vanløse,Mænd,15703
Vanløse,Kvinder,16791
Brønshøj-Husum,Mænd,16860
Brønshøj-Husum,Kvinder,17306
Valby,Mænd,20294
Indre By,Mænd,21194
Valby,Kvinder,21636
Indre By,Kvinder,22298
Bispebjerg,Kvinder,22311
Amager Øst,Mænd,22535
Bispebjerg,Mænd,22546
Amager Øst,Kvinder,23328
Vesterbro/Kongens Enghave,Mænd,25138
Vesterbro/Kongens Enghave,Kvinder,25154
Amager Vest,Mænd,25829
Amager Vest,Kvinder,26586
Østerbro,Mænd,29235
Nørrebro,Mænd,31874
Vanløse,Mænd og kvinder,32494
Østerbro,Kvinder,32700
Nørrebro,Kvinder,33973
Brønshøj-Husum,Mænd og kvinder,34166
Valby,Mænd og kvinder,41930
Indre By,Mænd og kvinder,43492
Bispebjerg,Mænd og kvinder,44857
Amager Øst,Mænd og kvinder,45863
Vesterbro/Kongens Enghave,Mænd og kvinder,50292
Amager Vest,Mænd og kvinder,52415
Østerbro,Mænd og kvinder,61935
Nørrebro,Mænd og kvinder,65847
